Material;        Total Stock 
 SMS46AW02E ;-96
 WAB20262ME ;-96
 ZVC752SPRU ;-96
 ZVC752SPRU ;-96
 ZVC752ZPRU ;-96
 3VF300NP ;-95
 3VF300NP ;-95
 KG86NAI30L ;-95
 KGV33XW30G ;-95
 KI82LAF30N ;-95
 PBH6C6B90R ;-95
 SMS67MW01B ;-95
 SMS67MW01B ;-95
 SN23E200TR ;-95
 WAB20262BY ;-95
 HB301E4T ;-94
 KG39VVW31 ;-94
 KG56NXI30 ;-94
 KGN56VL40B ;-94
 PHA009090 ;-94
 TFL24IR800 ;-94
 TFL24IR800 ;-94
 3TS766BE ;-93
 KGN39XL4P ;-93
 PBP0C2B80L ;-93
 SMI25DS00T ;-93
 HKS79R220 ;-92
 KG49NXI40 ;-92
 WAB2026YPL ;-92
 WT45W410TR ;-92
 HTB12E458T ;-91
 HXR39IE50N ;-91
 KDV29VW30 ;-91
 KG39NVL35 ;-91
 KGE366L4Q ;-91
 OB36P5B80D ;-91
 Q8A0024671 ;-91
 SN64E003TR ;-91
 WAB2026YPL ;-91
 HGD52D121Q ;-90
 KGN36VL35G ;-90
 KGV36VE32S ;-90
 LC67BD532T ;-90
 Q8A0024667 ;-90
 WAK20260TR ;-90
 ZKZ512000 ;-90
 KGE49VW4A ;-89
 KGN56AI204 ;-89
 KGN76AI30L ;-89
 WAK28163GB ;-89
 3DPRODRAIL ;-88
 CMG12IDTR ;-88
 CMG12IDTR ;-88
 SMS45II01B ;-88
 HGD62D250Q ;-87
 KDD56PI304 ;-87
 SMV25DX00T ;-87
 WAT28461ME ;-87
 KG39FSB45 ;-86
 KGE36EW4P ;-86
 KGE36VI4A ;-86
 KGN56VW40B ;-86
 T24IW900SP ;-86
 WM12T498ES ;-86
 BD3056L3VN ;-85
 HXA090H29T ;-85
 KG33VVI31 ;-85
 KG39VVI31 ;-85
 KGE49VW4AG ;-85
 KGV36UW30S ;-85
 Q8A0024651 ;-85
 RC462304 ;-85
 VH1MG0750 ;-85
 3FS2302WI ;-84
 CH6M50050 ;-84
 HGA120B50M ;-84
 HXA060D20T ;-84
 JF2306050 ;-84
 KDN42VW20 ;-84
 KG56NXW30 ;-84
 KGE49KL4P ;-84
 KGN36NL30M ;-84
 POH6C6B11O ;-84
 SMS40E32EU ;-84
 TFL18ID800 ;-84
 TFL18ID800 ;-84
 WAK20260TR ;-84
 KG57NVL20M ;-83
 MUZ4EB1 ;-83
 SKS62E28IR ;-83
 SMS45IW01B ;-83
 WAT28780ME ;-83
 HKA090020U ;-82
 KGE392I4B ;-82
 KGN56AW30N ;-82
 SMS30E02TR ;-82
 WAB12061TR ;-82
 WAK20200ME ;-82
 HBF113BR0Y ;-81
